user_id,fullname,abstracts,conflicts
661,Dylan Deska-Gauthier,"Neuronal diversity provides the spinal cord with the functional flexibility required to perform complex motor tasks. Spinal neurons arise during early embryonic development with the establishment of spatially and molecularly discrete progenitor domains that give rise to distinct, but highly heterogeneous, post-mitotic interneuron (IN) populations. Our previous studies have shown that Sim1-expressing V3 INs, originating from the p3 progenitor domain, are anatomically and physiologically divergent. However, the developmental logic guiding V3 subpopulation diversity remains elusive. In specific cases of other IN classes, neurogenesis timing can play a role in determining the ultimate fates and unique characteristics of distinctive subpopulations. To examine whether neurogenesis timing contributes to V3 diversity, we systematically investigated the temporal neurogenesis profiles of V3 INs in the mouse spinal cord. Our work uncovered that V3 INs were organized into either early-born (E9.5-E10.5) or late-born (E11.5-E12.5) neurogenic waves. Early-born V3 INs displayed both ascending and descending commissural projections and clustered into subgroups across dorsoventral spinal laminae. In contrast, late-born V3 INs became fate-restricted to ventral laminae, displayed mostly descending and local commissural projections, and uniform membrane properties. Furthermore, we found that the post-mitotic transcription factor, Sim1, although expressed in all V3 INs, exclusively regulated the dorsal clustering and electrophysiological diversification of early-born, but not late-born, V3 INs, which indicates that neurogenesis timing may enable new born V3 INs to interact with different post-mitotic differentiation pathways. Thus, our work demonstrates neurogenesis timing as a developmental mechanism underlying the post-mitotic differentiation of V3 INs into distinct subpopulation assemblies.SIGNIFICANCE STATEMENTInterneuron (IN) diversity empowers the spinal cord with the computation flexibility required to perform appropriate sensorimotor control. As such, uncovering the developmental logic guiding spinal IN diversity is fundamental to understanding the development of movement. In our current work, through a focus on the cardinal spinal V3 IN population, we investigated the role of neurogenesis timing on IN diversity. We uncovered that V3 INs are organized into early-born (E9.5-E10.5) or late-born (E11.5-E12.5) neurogenic waves, where late-born V3 INs display increasingly restricted subpopulation fates. Next, to better understand the consequences of V3 neurogenesis timing, we investigated the time-dependent functions of the Sim1 transcription factor, which is expressed in post-mitotic V3 INs. Interestingly, Sim1 exclusively regulated the diversification of early-born, but not late-born V3 INs. Thus, our current work indicates neurogenesis timing can modulate the functions of early postmitotic transcription factors, and thus, subpopulation fate specifications.",Joanna Borowska-Fielding;Chris Jones;Ying Zhang
662,Reka Daniel,"To efficiently learn optimal behavior in complex environments, humans rely on an interplay of learning and attention. Healthy aging has been shown to independently affect both of these functions. Here, we investigate how reinforcement learning and selective attention interact during learning from trial and error across age groups. We acquired behavioral and fMRI data from older and younger adults (male and female) performing two probabilistic learning tasks with varying attention demands. While learning in the unidimensional task did not differ across age groups, older adults performed worse than younger adults in the multidimensional task, which required high levels of selective attention. Computational modeling showed that choices of older adults are better predicted by reinforcement learning than Bayesian inference, and that older adults rely more on reinforcement learning based predictions than younger adults. Conversely, a higher proportion of younger adults' choices was predicted by a computationally demanding Bayesian approach. In line with the behavioral findings, we observed no group differences in reinforcement-learning related fMRI activation. Specifically, prediction-error activation in the nucleus accumbens was similar across age groups, and numerically higher in older adults. However, activation in the default mode was less suppressed in older adults in for higher attentional task demands, and the level of suppression correlated with behavioral performance. Our results indicate that healthy aging does not significantly impair simple reinforcement learning. However, in complex environments, older adults rely more heavily on suboptimal reinforcement-learning strategies supported by the ventral striatum, whereas younger adults utilize attention processes supported by cortical networks.SIGNIFICANCE STATEMENTChanges in the way that healthy human aging affects how we learn to optimally behave are not well understood; it has been suggested that age-related declines in dopaminergic function may impair older adult's ability to learn from reinforcement. In the present fMRI experiment we show that learning and nucleus accumbens activation in a simple unidimensional reinforcment-learning task was not significantly affected by age. However, in a more complex multidimensional task, older adults showed worse performance and relied more on reinforcement-learning strategies than younger adults, while failing to disengage their default-mode network during learning. These results imply that older adults are only impaired in reinforcement learning if they additionally need to learn which dimensions of the environment are currently important.1.",Angela Radulescu;Yael Niv
663,Nina L T So,"Vocal communication relies on the ability of listeners to identify, process, and respond to vocal sounds produced by others in complex environments. In order to accurately recognize these signals, animals' auditory systems must robustly represent acoustic features that distinguish vocal sounds from other environmental sounds. Vocalizations typically have spectral structure; power regularly fluctuates along the frequency axis, creating spectral contrast. Spectral contrast is closely related to harmonicity, which refers to spectral power peaks occurring at integer multiples of a fundamental frequency. While both spectral contrast and harmonicity typify natural sounds, they may differ in salience for communication behavior and engage distinct neural mechanisms. Therefore, it is important to understand which of these properties of vocal sounds underlie the neural processing and perception of vocalizations.Here, we test the importance of vocalization-typical spectral features in behavioral recognition and neural processing of vocal sounds, using male zebra finches. We show that behavioral responses to natural and synthesized vocalizations rely on the presence of discrete frequency components, but not on harmonic ratios between frequencies. We identify a specific population of neurons in primary auditory cortex that are sensitive to the spectral resolution of vocal sounds. We find that behavioral and neural response selectivity is explained by sensitivity to spectral contrast rather than harmonicity. This selectivity emerges within the cortex; it is absent in the thalamorecipient region and present in the deep output region. Further, deep-region neurons that are contrast-sensitive show distinct temporal responses and selectivity for modulation density compared to unselective neurons.SIGNIFICANCE STATEMENTAuditory coding and perception are critical for vocal communication. Auditory neurons must encode acoustic features that distinguish vocalizations from other sounds in the environment and generate percepts that direct behavior. The acoustic features that drive neural and behavioral selectivity for vocal sounds are unknown, however. Here, we show that vocal response behavior scales with stimulus spectral contrast but not with harmonicity, in songbirds. We identify a distinct population of auditory cortex neurons in which response selectivity parallels behavioral selectivity. This neural response selectivity is explained by sensitivity to spectral contrast rather than to harmonicity. Our findings inform the understanding of how the auditory system encodes socially-relevant signals via detection of an acoustic feature that is ubiquitous in vocalizations.",Jacob A Edwards;Sarah M N Woolley
664,Shu-Guang Kuai,"When moving around in the world, the human visual system uses both motion and form information to estimate the direction of self-motion (i.e., heading). However, little is known about cortical areas in charge of this task. This brain-imaging study addressed this question by using visual stimuli consisting of randomly distributed dot pairs oriented toward a locus on a screen (the form-defined focus of expansion (FoE)) but moved away from a different locus (the motion-defined FoE) to simulate observer translation. We first fixed the motion-defined FoE location and shifted the form-defined FoE location. We then made the locations of the motion- and the form-defined FoEs either congruent (at the same location in the display) or incongruent (on the opposite sides of the display). The motion- or the form-defined FoE shift was the same in the two types of stimuli but the perceived heading direction shifted for the congruent but not the incongruent stimuli. Participants (both sexes) made a task-irrelevant (contrast discrimination) judgment during scanning. Searchlight and region-of-interest based multi-voxel pattern analysis (MVPA) revealed that early visual areas V1, V2, and V3 responded to either the motion- or the form-defined FoE shift. After V3, only the dorsal areas V3a and V3B/KO responded to such shifts. Furthermore, area V3B/KO shows a highly significant higher decoding accuracy for the congruent than the incongruent stimuli. Our results provide direct evidence showing area V3B/KO does not simply respond to motion and form cues but integrate these two cues for the perception of heading.SIGNIFICANCE STATEMENTHuman survival relies on accurate perception of self-motion. The visual system uses both motion (optic flow) and form cues for the perception of the direction of self-motion (heading). Although human brain areas for processing optic flow and form structure are well identified, the areas responsible for integrating these two cues for the perception of self-motion remain unknown. We conducted fMRI experiments and used MVPA analysis technique to find human brain areas that can decode the shift in heading specified by each cue alone and the two cues combined. We found that motion and form information are first processed in the early visual areas and then are likely integrated in the higher dorsal area V3B/KO for the final estimation of heading.",Zhou-Kui-Dong Shan;Jing Chen;Zhe-Xin Xu;Jia-Mei Li;David T Field;Li Li
665,David V C Brito,"Age-related memory loss is observed across multiple mammalian species and preferentially affects hippocampus-dependent memory. Memory impairments are characterized by accelerated decay of spatial memories. Nevertheless the molecular mechanisms underlying these deficits are still largely unknown. Here, we investigated the expression and function of the growth arrest DNA damage (Gadd45) family during aging and cognition, respectively. We report that aging impairs the expression of Gadd45γ in the hippocampus of cognitively impaired male mice. Mimicking this decrease in young adult male mice led to age-like memory deficits in hippocampus-dependent memory tasks. Gadd45γ reduction impaired the activity of key components of the MAPK pathway (p38 and JNK) in mouse hippocampal cultures. Furthermore we found that activation of downstream targets, such as ATF-2, c-Jun and CREB was disrupted. Finally, we showed that Gadd45γ is required for induction of key early- and late-response genes that have been associated with aging. Together, these findings indicate that Gadd45γ expression regulates cognitive abilities and synapse-to-nucleus communication, and suggest Gadd45γ dysfunction as a potential mechanism contributing to age-related cognitive impairments.SIGNIFICANCE STATEMENTA high percentage of subjects experience age-related memory loss that burdens daily performance. Although many advances have been made, the precise changes in the brain governing these deficits are unclear. Identifying molecular processes that are required for cognition and are altered during old age is crucial to develop preventive or therapeutic strategies. Here we show that baseline and learning-induced expression of the growth arrest DNA damage (Gadd45) γ is selectively impaired in the hippocampus of aged mice with cognitive deficits. Next, we show that modeling this impairment in young adult mice with normal cognitive performance disrupts long-and short-term memories in an aged-like manner. Finally, we demonstrate that Gadd45γ regulates synapse-to-nucleus communication processes that are needed for plasticity-associated gene expression.",Janina Kupke;Kubra Gulmez Karaca;Benjamin Zeuch;Ana M M Oliveira
666,Rose A Cooper,"The hallmark of episodic memory is recollecting multiple perceptual details tied to a specific spatial-temporal context. To remember an event, it is therefore necessary to integrate such details into a coherent representation during initial encoding. Here we tested how the brain encodes and binds multiple, distinct kinds of features in parallel, and how this process evolves over time during the event itself. We analyzed data from 27 human subjects (16 females, 11 males) who learned a series of objects uniquely associated with a color, a panoramic scene location, and an emotional sound while functional magnetic resonance imaging data were collected. By modeling how brain activity relates to memory for upcoming or just-viewed information, we were able to test how the neural signatures of individual features as well as the integrated event changed over the course of encoding. We observed a striking dissociation between early and late encoding processes: left inferior frontal and visuo-perceptual signals at the onset of an event tracked the amount of detail subsequently recalled and were dissociable based on distinct remembered features. In contrast, memory-related brain activity shifted to the left hippocampus toward the end of an event, which was particularly sensitive to binding item color and sound associations with spatial information. These results provide evidence of early, simultaneous feature-specific neural responses during episodic encoding that predict later remembering and suggest that the hippocampus integrates these features into a coherent experience at an event transition.SIGNIFICANCE STATEMENTUnderstanding and remembering complex experiences is crucial for many socio-cognitive abilities, including being able to navigate our environment, predict the future, and share experiences with others. Probing the neural mechanisms by which features become bound into meaningful episodes is a vital part of understanding how we view and reconstruct the rich detail of our environment. By testing memory for multimodal events, our findings show a functional dissociation between early encoding processes that engage lateral frontal and sensory regions to successfully encode event features, and later encoding processes that recruit hippocampus to bind these features together. These results highlight the importance of considering the temporal dynamics of encoding processes supporting multimodal event representations.",Maureen Ritchey
667,Maria Elena Erro,"OBJECTIVE
To describe the neuropathologic features and the molecular data of phosphorylated tau (pTau) in a new case of anti-IgLON5 disease.


METHODS
Review of clinical data, postmortem neuropathologic examination. Biochemical analyses of pTau were performed in brain samples from the present case and from a previously described patient with anti-IgLON5 with the characteristic brainstem tauopathy.


RESULTS
The patient was a 71-year-old man with a clinical syndrome consisting of sleep disturbance and bulbar symptoms. IgLON5 antibodies of predominant IgG4 subtype were detected in serum and CSF. He carried the HLA DRB1*10:01-DQB1*05:01 haplotype. Despite treatment with IV immunoglobulins, he unexpectedly died during sleep 2 years after disease onset. Histology showed neurofibrillary pathology and β-amyloid deposits consistent with Alzheimer disease (AD) of intermediate severity. pTau deposits were absent in the brainstem. There were few perivascular CD8+ T-cell infiltrates in the posterior hypothalamus, amygdala, and brainstem with microglial activation. The pTau immunoblot showed a pattern of bands consistent with AD, which was different from that observed in the patient with anti-IgLON5 with brainstem tauopathy who presented a differential band around 56 KDa.


CONCLUSION
The absence of pTau deposits in the brainstem of the present patient suggests that the tauopathy of patients with anti-IgLON5 disease may be a late, secondary event. The anti-IgLON5 brainstem tauopathy has a specific molecular signature different from primary tauopathies. pTau deposits restricted to the hippocampus/limbic regions of patients with anti-IgLON5 may represent an age-related comorbidity.",Lidia Sabater;Laura Martínez;María Herrera;Aiora Ostolaza;Iñaki García de Gurtubay;Teresa Tuñón;Francesc Graus;Ellen Gelpi
668,Nora Möhn,"OBJECTIVE
The use of alemtuzumab, a humanized monoclonal anti-CD52 antibody has changed the therapy of highly active relapsing-remitting MS (RRMS). Alemtuzumab infusion depletes most lymphocytes in peripheral blood, whereas differential recovery of immune cells, probably those with a less CNS-autoreactive phenotype, is supposed to underlie its long-lasting effects. To determine whether alemtuzumab significantly reduces immunoglobulin levels in blood and CSF of treated patients, we analyzed blood and CSF samples of 38 patients with MS treated with alemtuzumab regarding changes in immunoglobulin levels.


METHODS
Blood and CSF samples of patients were collected at the beginning of alemtuzumab treatment and at 12, 24, and 36 months after the first administration of the drug. Specimens were analyzed regarding immunoglobulin concentrations in blood and CSF.


RESULTS
We observed significant and dose-dependent reductions of immunoglobulin levels (IgG, IgM, and IgA) in serum and CSF 12 and 24 months following 2 courses of alemtuzumab. Patients with persistent or returning disease activity who were treated with a third course of alemtuzumab exhibited even further decrease in IgG levels compared with matched controls treated twice. Here, alemtuzumab-treated patients with IgG levels below the lower limits of normal were more susceptible to pneumonia, sinusitis, and otitis, whereas upper respiratory tract and urinary tract infections were not associated therewith.


CONCLUSIONS
Our results suggest to monitor IgG levels for safety reasons in patients treated with alemtuzumab-in particular when additional treatment courses are required-and to consider preventive action in critical cases.


CLASSIFICATION OF EVIDENCE
This study provides Class IV evidence that for patients with RRMS alemtuzumab reduces immunoglobulin levels.",Steffen Pfeuffer;Tobias Ruck;Catharina C Gross;Thomas Skripuletz;Luisa Klotz;Heinz Wiendl;Martin Stangel;Sven G Meuth
669,Raquel Ruiz-García,"OBJECTIVE
To report the presence of a new neuronal surface antibody against the metabotropic glutamate receptor 2 antibody (mGluR2-Ab) in 2 patients with paraneoplastic cerebellar ataxia.


METHODS
mGluR2-Abs were initially characterized by immunohistochemistry on the rat brain and confirmed by immunofluorescence on HEK293 cells transfected with mGluR2. Additional studies included analysis of potential cross-reactivity with other mGluRs, expression of mGluR2 in patients' tumors, and the effects of mGluR2-Abs on cultures of rat hippocampal neurons.


RESULTS
Patient 1 was a 78-year-old woman with progressive cerebellar ataxia with an initial relapsing-remitting course who developed a small-cell tumor of unknown origin. Patient 2 was a 3-year-old girl who presented a steroid-responsive acute cerebellitis preceding the diagnosis of an alveolar rhabdomyosarcoma. Patients' serum and CSF showed a characteristic immunostaining of the hippocampus and cerebellum in rat brain sections and immunolabeled the cell surface of live rat hippocampal neurons. HEK293 cells transfected with mGluR1, 2, 3, and 5 confirmed that patients' antibodies only recognized mGluR2. mGluR2-Abs were not detected in 160 controls, 120 with paraneoplastic, autoimmune, or degenerative ataxias, and 40 with autoimmune encephalitis and antibodies against mGluR5 or unknown antigens. Expression of mGluR2 in tumors was confirmed by immunohistochemistry using a commercial mGluR2-Ab. Incubation of live rat hippocampal neurons with CSF of patient 2 did not modify the density of surface mGluR2 clusters.


CONCLUSIONS
mGluR2-Abs are a novel biomarker of paraneoplastic cerebellar ataxia. The potential pathogenic effect of the antibodies is not mediated by downregulation or internalization of neuronal surface mGluR2.",Eugenia Martínez-Hernández;Bastien Joubert;Mar Petit-Pedrol;Elena Pajarón-Boix;Verónica Fernández;Lidia Salais;María Del Pozo;Thais Armangué;Lidia Sabater;Josep Dalmau;Francesc Graus
670,Lue Zhou,"OBJECTIVE
To investigate the associations of sleep duration, midday napping, sleep quality, and change in sleep duration with risk of incident stroke and stroke subtypes.


METHODS
Among 31,750 participants aged 61.7 years on average at baseline from the Dongfeng-Tongji cohort, we used Cox regression models to estimate hazard ratios (HRs) and 95% confidence intervals (CIs) for incident stroke.


RESULTS
Compared with sleeping 7 to <8 hours/night, those reporting longer sleep duration (≥9 hours/night) had a greater risk of total stroke (hazard ratio [HR] 1.23; 95% confidence interval [CI] 1.07-1.41), while shorter sleep (<6 hours/night) had no significant effect on stroke risk. The HR (95% CI) of total stroke was 1.25 (1.03-1.53) for midday napping >90 minutes vs 1-30 minutes. The results were similar for ischemic stroke. Compared with good sleep quality, those with poor sleep quality showed a 29%, 28%, and 56% higher risk of total, ischemic, and hemorrhagic stroke, respectively. Moreover, we observed significant joint effects of sleeping ≥9 hours/night and midday napping >90 minutes (HR 1.85; 95% CI 1.28-2.66), and sleeping ≥9 hours/night and poor sleep quality (HR 1.82; 95% CI 1.33-2.48) on risk of total stroke. Furthermore, compared with persistently sleeping 7-9 hours/night, those who persistently slept ≥9 hours/night or switched from 7 to 9 hours to ≥9 hours/night had a higher risk of total stroke.


CONCLUSIONS
Long sleep duration, long midday napping, and poor sleep quality were independently and jointly associated with higher risks of incident stroke. Persistently long sleep duration or switch from average to long sleep duration increased the risk of stroke.",Kuai Yu;Liangle Yang;Hao Wang;Yang Xiao;Gaokun Qiu;Xuezhen Liu;Yu Yuan;Yansen Bai;Xiulou Li;Handong Yang;Meian He;Chongjian Wang;Tangchun Wu;Xiaomin Zhang
671,Andrea Cortese,"OBJECTIVE
To investigate the effectiveness of targeted next-generation sequencing (NGS) panels in achieving a molecular diagnosis in Charcot-Marie-Tooth disease (CMT) and related disorders in a clinical setting.


METHODS
We prospectively enrolled 220 patients from 2 tertiary referral centers, one in London, United Kingdom (n = 120), and one in Iowa (n = 100), in whom a targeted CMT NGS panel had been requested as a diagnostic test. PMP22 duplication/deletion was previously excluded in demyelinating cases. We reviewed the genetic and clinical data upon completion of the diagnostic process.


RESULTS
After targeted NGS sequencing, a definite molecular diagnosis, defined as a pathogenic or likely pathogenic variant, was reached in 30% of cases (n = 67). The diagnostic rate was similar in London (32%) and Iowa (29%). Variants of unknown significance were found in an additional 33% of cases. Mutations in GJB1, MFN2, and MPZ accounted for 39% of cases that received genetic confirmation, while the remainder of positive cases had mutations in diverse genes, including SH3TC2, GDAP1, IGHMBP2, LRSAM1, FDG4, and GARS, and another 12 less common genes. Copy number changes in PMP22, MPZ, MFN2, SH3TC2, and FDG4 were also accurately detected. A definite genetic diagnosis was more likely in cases with an early onset, a positive family history of neuropathy or consanguinity, and a demyelinating neuropathy.


CONCLUSIONS
NGS panels are effective tools in the diagnosis of CMT, leading to genetic confirmation in one-third of cases negative for PMP22 duplication/deletion, thus highlighting how rarer and previously undiagnosed subtypes represent a relevant part of the genetic landscape of CMT.",Janel E Wilcox;James M Polke;Roy Poh;Mariola Skorupinska;Alexander M Rossor;Matilde Laura;Pedro J Tomaselli;Henry Houlden;Michael E Shy;Mary M Reilly
672,Jos Oudeman,"OBJECTIVE
To assess and compare the diagnostic performance of qualitative and (semi-)quantitative MRI and ultrasound for distinguishing chronic inflammatory demyelinating polyneuropathy (CIDP) and multifocal motor neuropathy (MMN) from segmental spinal muscular atrophy (sSMA).


METHODS
Patients with CIDP (n = 13), MMN (n = 10), or sSMA (n = 12) and healthy volunteers (n = 30) were included. MRI of the brachial plexus, using short tau inversion recovery (STIR), nerve-specific T2-weighted (magnetic resonance neurography [MRN]), and diffusion tensor imaging (DTI) sequences, was evaluated. Furthermore, with ultrasound, cross-sectional areas of the nerves were evaluated. Three radiologists blinded for diagnosis qualitatively scored hypertrophy and increased signal intensity (STIR and MRN), and intraobserver and interobserver agreement was assessed. For the (semi-)quantitative modalities, group differences and receiver operator characteristics were calculated.


RESULTS
Hypertrophy and increased signal intensity were found in all groups including healthy controls. Intraobserver and interobserver agreements varied considerably (intraclass correlation coefficients 0.00-0.811 and 0.101-0.491, respectively). DTI showed significant differences (p < 0.05) among CIDP, MMN, sSMA, and controls for fractional anisotropy, axial diffusivity, and radial diffusivity in the brachial plexus. Ultrasound showed significant differences in cross-sectional area (p < 0.05) among CIDP, MMN, and sSMA in upper arm and brachial plexus. For distinguishing immune-mediated neuropathies (CIDP and MMN) from sSMA, ultrasound yielded the highest area under the curve (0.870).


CONCLUSION
Qualitative assessment of hypertrophy and signal hyperintensity on STIR or MRN is of limited value. DTI measures may discriminate among CIDP, MMN, and sSMA. Currently, ultrasound may be the most appropriate diagnostic imaging aid in the clinical setting.",Filip Eftimov;Gustav J Strijkers;Joppe J Schneiders;Stefan D Roosendaal;Maurits P Engbersen;Martijn Froeling;H Stephan Goedee;Pieter A van Doorn;Matthan W A Caan;Ivo N van Schaik;Mario Maas;Aart J Nederveen;Marianne de Visser;Camiel Verhamme
673,Ruth Peters,"OBJECTIVE
High blood pressure is one of the main modifiable risk factors for dementia. However, there is conflicting evidence regarding the best antihypertensive class for optimizing cognition. Our objective was to determine whether any particular antihypertensive class was associated with a reduced risk of cognitive decline or dementia using comprehensive meta-analysis including reanalysis of original participant data.


METHODS
To identify suitable studies, MEDLINE, Embase, and PsycINFO and preexisting study consortia were searched from inception to December 2017. Authors of prospective longitudinal human studies or trials of antihypertensives were contacted for data sharing and collaboration. Outcome measures were incident dementia or incident cognitive decline (classified using the reliable change index method). Data were separated into mid and late-life (>65 years) and each antihypertensive class was compared to no treatment and to treatment with other antihypertensives. Meta-analysis was used to synthesize data.


RESULTS
Over 50,000 participants from 27 studies were included. Among those aged >65 years, with the exception of diuretics, we found no relationship by class with incident cognitive decline or dementia. Diuretic use was suggestive of benefit in some analyses but results were not consistent across follow-up time, comparator group, and outcome. Limited data precluded meaningful analyses in those ≤65 years of age.


CONCLUSION
Our findings, drawn from the current evidence base, support clinical freedom in the selection of antihypertensive regimens to achieve blood pressure goals.


CLINICAL TRIALS REGISTRATION
The review was registered with the international prospective register of systematic reviews (PROSPERO), registration number CRD42016045454.",Sevil Yasar;Craig S Anderson;Shea Andrews;Riitta Antikainen;Hisatomi Arima;Nigel Beckett;Joanne C Beer;Anne Suzanne Bertens;Andrew Booth;Martin van Boxtel;Carol Brayne;Henry Brodaty;Michelle C Carlson;John Chalmers;Maria Corrada;Steven DeKosky;Carol Derby;Roger A Dixon;Françoise Forette;Mary Ganguli;Willem A van Gool;Antonio Guaita;Ann M Hever;David B Hogan;Carol Jagger;Mindy Katz;Claudia Kawas;Patrick G Kehoe;Sirkka Keinanen-Kiukaanniemi;Rose Ann Kenny;Sebastian Köhler;Setor K Kunutsor;Jari Laukkanen;Colleen Maxwell;G Peggy McFall;Tessa van Middelaar;Eric P Moll van Charante;Tze-Pin Ng;Jean Peters;Iris Rawtaer;Edo Richard;Kenneth Rockwood;Lina Rydén;Perminder S Sachdev;Ingmar Skoog;Johan Skoog;Jan A Staessen;Blossom C M Stephan;Sylvain Sebert;Lutgarde Thijs;Stella Trompet;Phillip J Tully;Christophe Tzourio;Roberta Vaccaro;Eeva Vaaramo;Erin Walsh;Jane Warwick;Kaarin J Anstey
674,Steven M Greenberg,"The shared role of amyloid-β (Aβ) deposition in cerebral amyloid angiopathy (CAA) and Alzheimer disease (AD) is arguably the clearest instance of crosstalk between neurodegenerative and cerebrovascular processes. The pathogenic pathways of CAA and AD intersect at the levels of Aβ generation, its circulation within the interstitial fluid and perivascular drainage pathways and its brain clearance, but diverge in their mechanisms of brain injury and disease presentation. Here, we review the evidence for and the pathogenic implications of interactions between CAA and AD. Both pathologies seem to be driven by impaired Aβ clearance, creating conditions for a self-reinforcing cycle of increased vascular Aβ, reduced perivascular clearance and further CAA and AD progression. Despite the close relationship between vascular and plaque Aβ deposition, several factors favour one or the other, such as the carboxy-terminal site of the peptide and specific co-deposited proteins. Amyloid-related imaging abnormalities that have been seen in trials of anti-Aβ immunotherapy are another probable intersection between CAA and AD, representing overload of perivascular clearance pathways and the effects of removing Aβ from CAA-positive vessels. The intersections between CAA and AD point to a crucial role for improving vascular function in the treatment of both diseases and indicate the next steps necessary for identifying therapies.",Brian J Bacskai;Mar Hernandez-Guillamon;Jeremy Pruzin;Reisa Sperling;Susanne J van Veluw
675,Åsa Nilses,"Background
Barriers inherent in service systems for autism can hinder parents from getting help for their children, and this is probably especially true for immigrant parents. In order to provide accessible assessment and interventions for preschool children with autism, a multidisciplinary team was established in one district of a Swedish city, with a majority population of immigrants.


Aim
The aim of the present study was to gain knowledge of the parents' experiences of participating in the community assessment and intervention program.


Methods and procedures
A qualitative study with semi-structured interviews was conducted with parents of 11 children aged 3-5, who had been diagnosed with autism and participated in the community intervention program for at least 1 year. The interviews were recorded and transcribed verbatim, and data were analyzed following a phenomenological hermeneutical method.


Results
The overall meaning of the parents' narratives was interpreted as ""A new way of understanding my child made life more hopeful and more challenging than before"". Their experience was interpreted as a process, captured in the three main themes: ""An overwhelming diagnosis"", ""Cooperating with the team"", and ""Growing as a parent"".


Conclusion
As lacking knowledge of available resources and support seems to be an important barrier to access services, the results underscore the importance of providing individually tailored services including comprehensive societal support to immigrant families with young children suffering from autism. The study also highlights the importance of addressing the parents' previous awareness and knowledge of autism early in the assessment process, as well as continually involving parents in the intervention program, and this may enhance parental growth.",Marianne Jingrot;Petra Linnsand;Christopher Gillberg;Gudrun Nygren
676,Efat Sadeghian,"Purpose
Despite its efficacy and safety, electroconvulsive therapy (ECT) is underutilized, in part, due to the stigma associated with the treatment. This study aimed to evaluate the effect of counseling on stigma in patients with psychiatric disorders receiving ECT.


Patients and methods
A total of 114 patients with psychiatric disorders undergoing ECT were randomly divided into two groups. Both the groups received routine care and treatment, but the intervention group (n=57) received four counseling sessions. At the beginning and end of the study (6 weeks, post-treatment), patients completed the Internalized Stigma of Mental Illness scale. The data were analyzed using independent and paired sample t-tests.


Results
There was no significant difference in the mean stigma scores of participants in the control and intervention groups before counseling (P>0.08). However, post-intervention, there was a significant difference in the mean stigma scores between both the groups (P<0.001).


Conclusion
The findings demonstrate that the counseling intervention is effective in decreasing stigma in patients undergoing ECT. Therefore, it is recommended to use this therapeutic method in such patients.",Parisa Rostami;Farshid Shamsaei;Lily Tapak
677,Vincent Grote,"Background
Vagal activity is critical for maintaining key body functions, including the stability of inflammatory control. Its weakening, such as in the aftermatch of a surgery, leaves the body vulnerable to diverse inflammatory conditions, including sepsis.


Methods
Vagal activity can be measured by the cardiorespiratory interaction known as respiratory sinus arrhythmia or high-frequency heart-rate variability (HRV). We examined the vagal dynamics before, during and after an orthopedic surgery. 39 patients had their HRV measured around the period of operation and during subsequent rehabilitation. Measurements were done during 24 h circadian cycles on ten specific days. For each patient, the circadian vagal activity was calculated from HRV data.


Results
Our results confirm the deteriorating effect of surgery on vagal activity. Patients with stronger pre-operative vagal activity suffer greater vagal withdrawal during the peri-operative phase, but benefit from stronger improvements during post-operative period, especially during the night. Rehabilitation seems not only to efficiently restore the vagal activity to pre-operative level, but in some cases to actually improve it.


Discussion
Our findings indicate that orthopedic rehabilitation has the potential to strengthen the vagal activity and hence boost inflammatory control. We conclude that providing a patient with a vagal reinforcement procedure prior to the surgery (""pre-habilitation"") might be a beneficial strategy against post-operative complications. The study also shows the clinical usefulness of quantifying the cardiorespiratory interactions.",Zoran Levnajić;Henry Puff;Tanja Ohland;Nandu Goswami;Matthias Frühwirth;Maximilian Moser
